source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON PiEGetxo Wa 210824 3um (1),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,1,10,1,3-200,3,200,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_1
EMO BON PiEGetxo Wa 210824 3um (2),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,2,10,1,3-200,3,200,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_2
EMO BON PiEGetxo Wa 210824 0.2um (1),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,1,10,1,0.2-3,0.2,3,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_3
EMO BON PiEGetxo Wa 210824 0.2um (2),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,2,10,1,0.2-3,0.2,3,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_4
EMO BON PiEGetxo Wa 210824 3um (BLANK),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,MilliQ water [ENVO:00003065],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,no_tide,,NA,blank_1,NA,NA,3-200,3,200,true,NA,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_5
EMO BON PiEGetxo Wa 210824 0.2um (BLANK),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,MilliQ water [ENVO:00003065],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,no_tide,,NA,blank_1,NA,NA,0.2-3,0.2,3,true,NA,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,false,2021-10-08,2021-10-11,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_PiEGetxo_Wa_6
EMO BON PiEGetxo Wa 210824 3um (3),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,3,10,1,3-200,3,200,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_PiEGetxo_Wa_7
EMO BON PiEGetxo Wa 210824 3um (4),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,4,10,1,3-200,3,200,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_PiEGetxo_Wa_8
EMO BON PiEGetxo Wa 210824 0.2um (3),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,3,10,1,0.2-3,0.2,3,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_PiEGetxo_Wa_9
EMO BON PiEGetxo Wa 210824 0.2um (4),EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-24,PiEGetxo_Wa_210824,Oihane Diaz de cerio,https://orcid.org/0000-0002-5605-8434,low_tide,,1,4,10,1,0.2-3,0.2,3,true,Niskin,WaSOP 1,MasterFlex L/S,2021-08-24,"BBEBB, freezer 12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_PiEGetxo_Wa_10
