source_mat_id_orig,source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMO BON PiEGetxo Wa 210824 3um (1),EMOBON_PiEGetxo_Wa_1,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 3um (2),EMOBON_PiEGetxo_Wa_2,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 0.2um (1),EMOBON_PiEGetxo_Wa_3,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 0.2um (2),EMOBON_PiEGetxo_Wa_4,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 3um (BLANK),EMOBON_PiEGetxo_Wa_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMO BON PiEGetxo Wa 210824 0.2um (BLANK),EMOBON_PiEGetxo_Wa_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMO BON PiEGetxo Wa 210824 3um (3),EMOBON_PiEGetxo_Wa_7,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 3um (4),EMOBON_PiEGetxo_Wa_8,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 0.2um (3),EMOBON_PiEGetxo_Wa_9,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
EMO BON PiEGetxo Wa 210824 0.2um (4),EMOBON_PiEGetxo_Wa_10,2.29,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,20.73,EXO2 multiparameter sonde,20.73,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,33.16,EXO2 multiparameter sonde,,,,,,,,,,46.4582,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,7.8,EXO2 multiparameter sonde,,,,,,,,,,,B-caroten: 0.04;α-caroten 0.005;chlorophyll b: 0.224;Lutein: 0.009;Zeaxanthin: 0.016;Diatoxanthin: 0;Aloxanthin: 0.038;Anteraxanthin: 0;Dinoxanthin: 0;Diadinoxanthin: 0.106;Hfu: 0.032;Violaxanthin: 0;Neoxanthin: 0;Prasinoxanthin: 0;Fucoxanthin: 0.278;Bfu: 0;Peridinin: 0.289;chlorophyll C1: 0.04;chlorophyll C2: 0.236,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,0,,,
